generation,height,parentVariety,influence,chaos,mutability,range,totalInfluenceWeight,cantAttributes,totalSeeds,totalCalories,foodAmount,leftSeeds
The actual seed has no offspring. Selecting a previous seed.
17,90,White Potato,0.8830722638134428,0.11692773618655716,0.3368781607481093,0.8028648562743752,0.4,1,5,1131330.49257363,6071,2456
18,61,White Potato,0.4422747087843355,0.5577252912156645,0.3368781607481093,10.260237028912627,0.4,1,4,1132871.7287473432,6079,2464
19,79,White Potato,0.6682985771749945,0.3317014228250055,0.3368781607481093,16.072156327280368,0.42500000000000004,2,3,1134029.0117054442,6084,2470
20,67,White Potato,0.38916260284419646,0.6108373971558035,0.3368781607481093,35.14917526876606,0.5055555555555555,2,0,1136351.8178032453,6092,2476
The actual seed has no offspring. Selecting a previous seed.
21,30,Dark Potato,0.8811906558655995,0.11880934413440047,0.5091025757303475,1.3678642373956669,0.2,1,3,1136687.6221916068,6095,2479
22,85,Dark Potato,0.4406019257303845,0.5593980742696155,0.5091025757303475,21.839934026497147,0.26666666666666666,1,1,1138005.223289541,6103,2484
23,85,White Potato,0.6554895705415491,0.3445104294584509,0.7427587886544195,20.081956286415835,0.44199134199134205,1,5,1139558.7121072658,6111,2489
24,70,Red Potato,0.7419565807615466,0.2580434192384534,0.9369445885285593,14.399657126389146,0.26666666666666666,2,3,1142784.495257728,6129,2499
25,59,Red Potato,0.8190733680120093,0.18092663198799075,0.9369445885285593,9.481837089958754,0.2,2,4,1145847.432436059,6146,2509
26,73,White Potato,0.8568266003915378,0.1431733996084622,1.171293236192629,12.227343772678049,0.5,1,2,1146154.3058629173,6148,2519
27,25,White Potato,0.4284145152091232,0.5715854847908768,1.171293236192629,39.02481183472665,0.7571428571428571,1,1,1146265.6225005782,6149,2521
28,49,Dark Potato,0.6604746543386475,0.3395253456613525,1.2344921244918505,32.902580236760286,0.030952380952380953,2,6,1148549.9770994706,6163,2527
29,32,Dark Potato,0.8014861937275657,0.1985138062724343,1.2344921244918505,14.533796148183383,0.09743589743589744,1,7,1162738.6757624892,6232,2559
